admin_name,admin_level,feature_id,mean,median,count,sum
RWA.1.3.17.3_1,cell_id,254,0.010644229,0.0,168,1.7882304
RWA.1.3.18.1_1,cell_id,255,0.0,0.0,120,0.0
RWA.1.3.18.2_1,cell_id,256,0.013191371,0.0,88,1.1608406
RWA.1.3.18.3_1,cell_id,257,0.047041193,0.0,72,3.3869658
RWA.1.3.18.4_1,cell_id,258,0.038050637,0.0,88,3.348456
RWA.1.3.18.5_1,cell_id,259,0.17243855,0.0,88,15.174592
RWA.1.3.18.6_1,cell_id,260,0.16364166,0.0,143,23.400757
RWA.1.3.19.1_1,cell_id,261,0.0,0.0,99,0.0
RWA.1.3.19.2_1,cell_id,262,0.0,0.0,156,0.0
RWA.1.3.19.3_1,cell_id,263,0.0,0.0,143,0.0
RWA.1.3.19.4_1,cell_id,264,0.0,0.0,110,0.0
RWA.1.3.19.5_1,cell_id,265,0.0,0.0,154,0.0
RWA.1.3.19.6_1,cell_id,266,0.0,0.0,108,0.0
RWA.1.3.20.1_1,cell_id,267,0.0,0.0,110,0.0
RWA.1.3.20.2_1,cell_id,268,0.0,0.0,117,0.0
RWA.1.3.20.3_1,cell_id,269,0.0,0.0,90,0.0
RWA.1.3.21.1_1,cell_id,270,0.0,0.0,60,0.0
RWA.1.3.21.2_1,cell_id,271,0.0,0.0,70,0.0
RWA.1.3.21.3_1,cell_id,272,0.24055839,0.0,80,19.24467
RWA.1.3.21.4_1,cell_id,273,0.0,0.0,80,0.0
RWA.1.3.21.5_1,cell_id,274,0.093953714,0.0,77,7.234436
RWA.1.4.1.1_1,cell_id,275,0.53402007,0.0,80,42.721607
RWA.1.4.1.2_1,cell_id,276,0.07217463,0.0,56,4.0417795
RWA.1.4.1.3_1,cell_id,277,0.15122384,0.0,88,13.307697
RWA.1.4.1.4_1,cell_id,278,0.2867966,0.0,63,18.068186
RWA.1.4.2.1_1,cell_id,279,0.6840991,0.0,80,54.727924
RWA.1.4.2.2_1,cell_id,280,0.39164108,0.0,72,28.198158
RWA.1.4.2.3_1,cell_id,281,0.020023206,0.0,90,1.8020885
RWA.1.4.2.4_1,cell_id,282,1.11635,0.0,64,71.4464
RWA.1.4.2.5_1,cell_id,283,0.012112814,0.0,63,0.7631073
RWA.1.4.2.6_1,cell_id,284,1.6900274,0.0,42,70.98115
RWA.1.4.3.1_1,cell_id,285,0.042813614,0.0,110,4.7094975
RWA.1.4.3.2_1,cell_id,286,0.0,0.0,110,0.0
RWA.1.4.3.3_1,cell_id,287,0.25242493,0.0,110,27.76674
RWA.1.4.3.4_1,cell_id,288,0.439276,0.0,72,31.627872
RWA.1.4.4.1_1,cell_id,289,0.0,0.0,99,0.0
RWA.1.4.4.2_1,cell_id,290,0.0,0.0,80,0.0
RWA.1.4.4.3_1,cell_id,291,0.16578065,0.0,64,10.6099615
RWA.1.4.4.4_1,cell_id,292,0.0,0.0,63,0.0
RWA.1.4.5.1_1,cell_id,293,0.003811504,0.0,220,0.8385309
RWA.1.4.5.2_1,cell_id,294,0.108100586,0.0,56,6.0536327
RWA.1.4.5.3_1,cell_id,295,0.20747592,0.0,88,18.257881
RWA.1.4.5.4_1,cell_id,296,0.02392881,0.0,357,8.542585
RWA.1.4.6.1_1,cell_id,297,0.7534778,0.0,80,60.278225
RWA.1.4.6.2_1,cell_id,298,0.21690904,0.0,48,10.4116335
RWA.1.4.6.3_1,cell_id,299,0.36746806,0.0,66,24.252892
RWA.1.4.6.4_1,cell_id,300,0.021088054,0.0,65,1.3707235
RWA.1.4.7.1_1,cell_id,301,0.0,0.0,140,0.0
RWA.1.4.7.2_1,cell_id,302,0.08970261,0.0,144,12.917176
RWA.1.4.7.3_1,cell_id,303,0.40994143,0.0,108,44.273674
RWA.1.4.7.4_1,cell_id,304,0.04408057,0.0,247,10.887901
RWA.1.4.7.5_1,cell_id,305,0.20179735,0.0,208,41.97385
RWA.1.4.8.1_1,cell_id,306,1.3749073,0.0,72,98.993324
RWA.1.4.8.2_1,cell_id,307,1.3284687,0.0,90,119.56218
RWA.1.4.8.3_1,cell_id,308,8.937117,10.602417,20,178.74234
RWA.1.4.8.4_1,cell_id,309,3.0347779,0.0,63,191.19101
RWA.1.4.9.1_1,cell_id,310,0.44080603,0.0,70,30.856422
RWA.1.4.9.2_1,cell_id,311,0.0,0.0,72,0.0
RWA.1.4.9.3_1,cell_id,312,1.2650813,0.0,40,50.603252
RWA.1.4.9.4_1,cell_id,313,0.10962973,0.0,49,5.3718567
RWA.1.4.10.1_1,cell_id,314,0.48526084,0.0,182,88.317474
RWA.1.4.10.2_1,cell_id,315,0.22314644,0.0,81,18.074862
RWA.1.4.10.3_1,cell_id,316,0.0,0.0,70,0.0
RWA.1.4.10.4_1,cell_id,317,0.0,0.0,54,0.0
RWA.1.4.10.5_1,cell_id,318,0.6832752,0.0,77,52.61219
RWA.1.4.11.1_1,cell_id,319,0.45349482,0.0,72,32.651627
RWA.1.4.11.2_1,cell_id,320,0.0,0.0,55,0.0
RWA.1.4.11.3_1,cell_id,321,0.0,0.0,54,0.0
RWA.1.4.11.4_1,cell_id,322,0.0,0.0,72,0.0
RWA.1.4.11.5_1,cell_id,323,0.023897354,0.0,54,1.2904571
RWA.1.4.12.1_1,cell_id,324,0.6190775,0.0,70,43.335426
RWA.1.4.12.2_1,cell_id,325,0.079455405,0.0,231,18.354198
RWA.1.4.12.3_1,cell_id,326,0.39321017,0.0,48,18.874088
RWA.1.4.12.4_1,cell_id,327,0.034561966,0.0,136,4.7004275
RWA.1.4.12.5_1,cell_id,328,0.015594688,0.0,204,3.1813164
RWA.1.4.13.1_1,cell_id,329,0.054789536,0.0,30,1.643686
RWA.1.4.13.2_1,cell_id,330,0.10032315,0.0,56,5.6180964
RWA.1.4.13.3_1,cell_id,331,0.0,0.0,70,0.0
RWA.1.4.13.4_1,cell_id,332,0.0,0.0,99,0.0
RWA.1.4.13.5_1,cell_id,333,0.15891449,0.0,56,8.899212
RWA.1.4.14.1_1,cell_id,334,0.0,0.0,64,0.0
RWA.1.4.14.2_1,cell_id,335,0.36630747,0.0,64,23.443678
RWA.1.4.14.3_1,cell_id,336,0.11225452,0.0,63,7.072035
RWA.1.4.14.4_1,cell_id,337,0.3884659,0.0,49,19.03483
RWA.1.4.14.5_1,cell_id,338,0.3516727,0.0,64,22.507053
RWA.1.4.15.1_1,cell_id,339,0.1249787,0.0,72,8.9984665
RWA.1.4.15.2_1,cell_id,340,0.0,0.0,77,0.0
RWA.1.4.15.3_1,cell_id,341,0.019493936,0.0,176,3.4309325
RWA.1.4.15.4_1,cell_id,342,0.023461534,0.0,184,4.316922
RWA.1.5.1.1_1,cell_id,343,0.5078128,0.0,81,41.132835
RWA.1.5.1.2_1,cell_id,344,0.40646386,0.0,110,44.711025
RWA.1.5.1.3_1,cell_id,345,0.19485112,0.0,108,21.04392
RWA.1.5.2.1_1,cell_id,346,0.0,0.0,132,0.0
RWA.1.5.2.2_1,cell_id,347,0.0,0.0,108,0.0
RWA.1.5.2.3_1,cell_id,348,0.0,0.0,108,0.0
RWA.1.5.3.1_1,cell_id,349,0.26292133,0.0,77,20.244942
